Usability Score,1.0
Drag Force (N),28.46898
Knee Angle Error (deg.),707.344
Hip Angle Error (deg.),772.5807
Arm Angle Error (deg.),811.4589
Cosine Distance to Embedding,0.04577595
Mass (kg),19.786545
Planar Compliance Score,12.605206
Transverse Compliance Score,8.018859
Eccentric Compliance Score,8.710287
Planar Safety Factor,1.5
Eccentric Safety Factor,1.5
Saddle height too small,356.2
Seat post too short,852.69995
Head tube lower extension too great,40.0
Head tube length too great,68.0
Certain parameters must be positive,435.0
Chain stay should be greater than wheel radius,37.0
Chain stay should be greater than BB,-210.0
Seat stay should be greater than wheel radius,85.40518
Down tube must reach head tube,-6.12e-17
The pedal shouldn't intersect the front wheel,509.5
The crank shouldn't hit the ground when it is in its lower position,22.5
RGB value should be less than 255,0.0
Predicted Frame Validity,0.5
