Usability Score,0.5489644
Drag Force (N),21.2736
Knee Angle Error (deg.),25.137478
Hip Angle Error (deg.),14.243439
Arm Angle Error (deg.),12.265213
Cosine Distance to Embedding,0.0023600536
Mass (kg),4.7396216
Planar Compliance Score,1.5312383
Transverse Compliance Score,1.252361
Eccentric Compliance Score,1.3660624
Planar Safety Factor,0.9045351
Eccentric Safety Factor,0.64230794
Saddle height too small,141.48203
Seat post too short,151.83354
Head tube lower extension longer than head tube,93.70389
Head tube upper extension and lower extension overlap,63.33588
Strictly postive parameter is negative,1.3917778
Chain stay smaller than rear wheel radius,85.56158
Chain stay shorter than BB drop,370.6811
Seat stay smaller than rear wheel radius,144.05185
Seat Tube Intersects Rear Wheel2,29.699326
Down tube can't reach head tube,166.61848
Rear wheel cutout severs seat tube,923341300.0
Foot intersects front wheel,33586.047
Crank hits ground in lowest position,97.96187
RGB value greater than 255,406.95776
Chain stays intersect,9.152262
Tube wall thickness exceeds radius,2.1025088
Down tube intersects front wheel,70.38113
Predicted Frame Validity,0.4971371
